Column1;Column2;Column3;Column4
PILASTRO;Degrado sociale;Segnalazioni;Nomadi
PILASTRO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
VIA DEL LAVORO;Degrado sociale;Segnalazioni;Bivacco
MENGOLI;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
SCANDELLARA;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;
MENGOLI;Degrado ambientale;Rifiuti/rottami;
VIA DEL LAVORO;Degrado sociale;Segnalazioni;Prostituzione
CADRIANO-CALAMOSCO;Degrado ambientale;Inquinamento acustico;Privati
VIA MONDO;Degrado ambientale;Inquinamento acustico;Privati
VIA DEL LAVORO;Degrado sociale;Segnalazioni;Nomadi
VIA DEL LAVORO;Degrado sociale;Segnalazioni;Punkabbestia
VIA LARGA;Degrado ambientale;Inquinamento acustico;Privati
VIA LARGA;Degrado sociale;Segnalazioni;Punkabbestia
MENGOLI;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
CIRENAICA;Degrado sociale;Segnalazioni;Senza fissa dimora
CROCE DEL BIACCO;Degrado ambientale;Inquinamento acustico;Privati
PILASTRO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VIA DEL LAVORO;Degrado urbano;Parcheggi pubblici;Dissestati
VIA LARGA;Degrado sociale;Segnalazioni;Nomadi
PILASTRO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
VIA LARGA;Degrado sociale;Segnalazioni;Nomadi
PILASTRO;Degrado sociale;Segnalazioni;Bivacco
VIA DEL LAVORO;Degrado sociale;Segnalazioni;Nomadi
CROCE DEL BIACCO;Degrado sociale;Segnalazioni;Bande giovanili
VIA DEL LAVORO;Degrado sociale;Segnalazioni;
GUELFA;Degrado sociale;Segnalazioni;Bivacco
VIA DEL LAVORO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
VIA DEL LAVORO;Microcriminalita;Spaccio;
VIA DEL LAVORO;Degrado sociale;Segnalazioni;Bivacco
VIA DEL LAVORO;Microcriminalita;Spaccio;
GUELFA;Microcriminalita;Spaccio;
PILASTRO;Degrado ambientale;Inquinamento acustico;Piazze/strade
PILASTRO;Degrado ambientale;Inquinamento acustico;Piazze/strade
CAAB;Degrado urbano;Piste ciclabili;Non/mal segnalate
ROVERI;Degrado sociale;Segnalazioni;Nomadi
VIA DEL LAVORO;Degrado urbano;;
CIRENAICA;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
VIA MONDO;Degrado sociale;Segnalazioni;Bivacco
MICHELINO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MENGOLI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
VIA MONDO;Degrado ambientale;Inquinamento acustico;Piazze/strade
MENGOLI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
MENGOLI;Degrado urbano;Piazze/strade;Dissestate
MICHELINO;Degrado urbano;Piazze/strade;Imbrattate
MENGOLI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Non/mal segnalati
FIERA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
MICHELINO;Degrado sociale;Segnalazioni;Bivacco
MENGOLI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
CAAB;Degrado ambientale;Inquinamento acustico;Piazze/strade
PILASTRO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VIA MONDO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
VIA MONDO;Degrado ambientale;Inquinamento atmosferico;Emissioni odorigene
GUELFA;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
CIRENAICA;Degrado urbano;Edifici pubblici;Abbandonati
CIRENAICA;Degrado urbano;Piste ciclabili;
GUELFA;Degrado sociale;Segnalazioni;Bivacco
GUELFA;Degrado ambientale;Rifiuti/rottami;
SCANDELLARA;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
GUELFA;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
CROCE DEL BIACCO;Degrado urbano;Piazze/strade;Dissestate
CROCE DEL BIACCO;Degrado sociale;Segnalazioni;Bivacco
GUELFA;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
CROCE DEL BIACCO;Degrado sociale;Segnalazioni;Bande giovanili
VIA DEL LAVORO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
CROCE DEL BIACCO;Degrado sociale;Segnalazioni;Senza fissa dimora
MENGOLI;Degrado urbano;Piazze/strade;Dissestate
CIRENAICA;Degrado urbano;;
MENGOLI;Degrado urbano;Colonnine Enel;
CROCE DEL BIACCO;Degrado sociale;Segnalazioni;Nomadi
VIA DEL LAVORO;Degrado sociale;;
MENGOLI;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
SCANDELLARA;Degrado urbano;Cantieri edili;Abbandonati
CROCE DEL BIACCO;Microcriminalita;Occupazioni abusive;Terreni pubblici
ROVERI;Degrado sociale;Segnalazioni;Nomadi
ROVERI;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VIA DEL LAVORO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
PILASTRO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
PILASTRO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
VIA MONDO;Degrado sociale;Segnalazioni;Punkabbestia
CROCE DEL BIACCO;Degrado sociale;Segnalazioni;Nomadi
PILASTRO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
MENGOLI;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Deiezioni cani
FIERA;Microcriminalita;Comportamenti sanzionabili;Accattonaggio molesto
SAN DONNINO;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
SAN DONNINO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
MENGOLI;Degrado urbano;Illuminazione pubblica/lampioni;Carente
CROCE DEL BIACCO;Degrado sociale;Segnalazioni;Bivacco
FIERA;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
ROVERI;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
FIERA;Microcriminalita;Truffe;
CIRENAICA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
CROCE DEL BIACCO;Degrado sociale;Segnalazioni;Nomadi
VIA DEL LAVORO;Degrado urbano;Piazze/strade;
MENGOLI;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
CIRENAICA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
CAAB;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
VIA DEL LAVORO;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
VIA DEL LAVORO;Degrado urbano;Piazze/strade;Dissestate
CIRENAICA;Degrado urbano;Piazze/strade;Dissestate
VIA MONDO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
FIERA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
PILASTRO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
FIERA;Degrado urbano;Piazze/strade;Dissestate
CIRENAICA;Degrado urbano;Piazze/strade;Imbrattate
VIA LARGA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VIA DEL LAVORO;Degrado urbano;Piste ciclabili;Carenti
CROCE DEL BIACCO;Microcriminalita;Vandalismi;
PILASTRO;Degrado urbano;Piste ciclabili;Non/mal segnalate
MENGOLI;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VIA DEL LAVORO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
CIRENAICA;Microcriminalita;Vandalismi;
VIA LARGA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MICHELINO;Degrado urbano;Piazze/strade;Dissestate
VIA DEL LAVORO;Degrado urbano;Piste ciclabili;Dissestate
VIA DEL LAVORO;Degrado urbano;Piste ciclabili;Dissestate
CROCE DEL BIACCO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
GUELFA;Degrado urbano;Piazze/strade;Dissestate
VIA DEL LAVORO;Degrado ambientale;Inquinamento acustico;Privati
SAN DONNINO;Degrado urbano;Illuminazione pubblica/lampioni;Carente
ROVERI;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
VIA DEL LAVORO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
VIA DEL LAVORO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
DAGNINI;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
DAGNINI;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
GALVANI-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MEZZOFANTI;Degrado ambientale;Inquinamento acustico;Privati
GALVANI-2;Degrado urbano;Piste ciclabili;Dissestate
SAN MICHELE IN BOSCO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MEZZOFANTI;Degrado urbano;Piazze/strade;
IRNERIO-1;Degrado urbano;Edifici privati;Danneggiati
IRNERIO-2;Degrado urbano;Piazze/strade;Interrotte
IRNERIO-1;Degrado sociale;Segnalazioni;Tossicodipendenti
IRNERIO-2;Degrado ambientale;Scarichi idrici;Perdite
IRNERIO-2;Degrado ambientale;Inquinamento acustico;Privati
DAGNINI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
SAN MICHELE IN BOSCO;Degrado ambientale;Neve;
GIARDINI MARGHERITA;Degrado ambientale;Neve;
GALVANI-2;Degrado ambientale;Neve;
DAGNINI;Degrado ambientale;Neve;
MEZZOFANTI;Degrado urbano;;
DAGNINI;Degrado ambientale;Neve;
SIEPELUNGA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
IRNERIO-2;Degrado urbano;Cantieri edili;Abbandonati
IRNERIO-1;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
GALVANI-2;Degrado ambientale;Inquinamento acustico;Privati
MEZZOFANTI;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
IRNERIO-1;Degrado urbano;Edifici privati;Imbrattati
IRNERIO-2;Degrado urbano;Edifici privati;Imbrattati
IRNERIO-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
GALVANI-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
DAGNINI;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
SIEPELUNGA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
GALVANI-2;Degrado urbano;Cantieri edili;
DAGNINI;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MEZZOFANTI;Degrado urbano;Piazze/strade;Dissestate
DAGNINI;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;
GALVANI-2;Degrado urbano;Edifici privati;Abusivi
GALVANI-2;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
DAGNINI;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Deiezioni cani
DAGNINI;Degrado ambientale;Rifiuti/rottami;Siringhe/Preservativi
GALVANI-2;Degrado urbano;Cantieri edili;Abbandonati
GALVANI-2;Degrado urbano;Cantieri edili;Abusivi
SIEPELUNGA;Degrado urbano;Piazze/strade;Dissestate
GALVANI-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MEZZOFANTI;Degrado urbano;Piazze/strade;Dissestate
GALVANI-2;Degrado ambientale;Inquinamento acustico;Privati
IRNERIO-2;Microcriminalita;Comportamenti sanzionabili;
IRNERIO-1;Degrado ambientale;Inquinamento acustico;Rumore da sorgenti fisse
DAGNINI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
MEZZOFANTI;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Deiezioni cani
GALVANI-2;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Deiezioni cani
GALVANI-2;Degrado urbano;Piazze/strade;Dissestate
GALVANI-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MEZZOFANTI;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
OSSERVANZA;Degrado urbano;Piazze/strade;Dissestate
GALVANI-1;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;
IRNERIO-1;Degrado urbano;Cantieri edili;Abbandonati
GALVANI-2;Degrado urbano;Edifici privati;Danneggiati
MEZZOFANTI;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
IRNERIO-1;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
IRNERIO-1;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
IRNERIO-2;Microcriminalita;Comportamenti sanzionabili;
GALVANI-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
GALVANI-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
CHIESANUOVA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
IRNERIO-2;Degrado urbano;Piazze/strade;Dissestate
CHIESANUOVA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
IRNERIO-2;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
GALVANI-2;Degrado urbano;Piazze/strade;Dissestate
IRNERIO-1;Degrado urbano;Piazze/strade;Imbrattate
GALVANI-2;Degrado urbano;Piste ciclabili;Dissestate
DAGNINI;Degrado urbano;Piazze/strade;Dissestate
SAN MICHELE IN BOSCO;Degrado urbano;Illuminazione pubblica/lampioni;Carente
IRNERIO-2;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
IRNERIO-2;Degrado urbano;Piste ciclabili;Carenti
GALVANI-2;Degrado urbano;Piazze/strade;Dissestate
SAN MICHELE IN BOSCO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;
MEZZOFANTI;Degrado urbano;Piazze/strade;Dissestate
GALVANI-2;Degrado sociale;Segnalazioni;Senza fissa dimora
IRNERIO-2;Microcriminalita;Spaccio;
CHIESANUOVA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
MEZZOFANTI;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
GALVANI-1;Degrado sociale;Segnalazioni;Senza fissa dimora
MEZZOFANTI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
GALVANI-1;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
IRNERIO-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
IRNERIO-1;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
GALVANI-2;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;
GALVANI-2;Degrado urbano;Cantieri edili;Abusivi
SAN MICHELE IN BOSCO;Degrado sociale;Segnalazioni;Senza fissa dimora
GALVANI-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
GALVANI-2;Degrado sociale;Segnalazioni;Bivacco
IRNERIO-1;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
IRNERIO-1;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
GALVANI-2;Degrado urbano;Piazze/strade;Dissestate
DAGNINI;Microcriminalita;Vandalismi;
IRNERIO-2;Degrado sociale;Segnalazioni;Mendicanti
DAGNINI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
OSSERVANZA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
DAGNINI;Degrado urbano;Piazze/strade;Dissestate
DAGNINI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
IRNERIO-1;Degrado ambientale;Inquinamento acustico;Piazze/strade
GALVANI-2;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Deiezioni cani
IRNERIO-2;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
GALVANI-1;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
SIEPELUNGA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
GALVANI-2;Degrado urbano;Cantieri stradali;
OSSERVANZA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
IRNERIO-2;Degrado urbano;Piazze/strade;Dissestate
SIEPELUNGA;Degrado urbano;Piazze/strade;Dissestate
MEZZOFANTI;Degrado urbano;Piazze/strade;Dissestate
SIEPELUNGA;Degrado urbano;Piazze/strade;Dissestate
GALVANI-2;Degrado urbano;Cantieri stradali;Abbandonati
GALVANI-2;Degrado sociale;Segnalazioni;Senza fissa dimora
IRNERIO-2;Degrado urbano;Piazze/strade;Imbrattate
IRNERIO-1;Degrado urbano;Edifici pubblici;Imbrattati
IRNERIO-2;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
DAGNINI;Degrado urbano;Piazze/strade;Dissestate
PADERNO;Degrado urbano;Piazze/strade;Dissestate
GALVANI-1;Degrado urbano;Piazze/strade;Dissestate
GALVANI-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
IRNERIO-1;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
CHIESANUOVA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
GALVANI-1;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;
MEZZOFANTI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
IRNERIO-2;Degrado sociale;Segnalazioni;Tossicodipendenti
IRNERIO-2;Degrado urbano;;
DAGNINI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
IRNERIO-1;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Non/mal segnalati
IRNERIO-2;Degrado sociale;Segnalazioni;Bivacco
OSSERVANZA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
IRNERIO-2;Degrado sociale;Segnalazioni;
CHIESANUOVA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
DAGNINI;Degrado urbano;Piazze/strade;Dissestate
GALVANI-2;Degrado urbano;Piazze/strade;
GALVANI-2;Microcriminalita;Comportamenti sanzionabili;
IRNERIO-2;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
IRNERIO-2;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
SIEPELUNGA;Degrado sociale;Segnalazioni;Bande giovanili
IRNERIO-2;Degrado sociale;Segnalazioni;
IRNERIO-2;Degrado sociale;Segnalazioni;
IRNERIO-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
IRNERIO-1;Degrado urbano;Cantieri stradali;Abbandonati
GALVANI-2;Degrado urbano;Piazze/strade;
GALVANI-2;Degrado urbano;Cantieri stradali;
SIEPELUNGA;Degrado ambientale;Inquinamento atmosferico;Emissioni da impianti termici/condizionatori
GALVANI-2;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
GALVANI-2;Degrado urbano;Edifici pubblici;Imbrattati
IRNERIO-2;Degrado sociale;Segnalazioni;Bivacco
IRNERIO-2;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Non/mal segnalati
MEZZOFANTI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
GALVANI-2;Degrado urbano;Edifici pubblici;Imbrattati
GALVANI-1;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
GALVANI-1;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
SIEPELUNGA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
IRNERIO-2;Degrado urbano;Piazze/strade;Dissestate
MEZZOFANTI;Degrado urbano;Piazze/strade;Dissestate
SAN MICHELE IN BOSCO;Degrado urbano;Piazze/strade;Dissestate
DAGNINI;Degrado urbano;;
IRNERIO-1;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
SIEPELUNGA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
GALVANI-2;Degrado urbano;Piazze/strade;
SIEPELUNGA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
GALVANI-1;Microcriminalita;Comportamenti sanzionabili;Accattonaggio molesto
IRNERIO-1;Degrado urbano;Edifici privati;Danneggiati
OSSERVANZA;Degrado urbano;Piazze/strade;Dissestate
CHIESANUOVA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
IRNERIO-2;Degrado urbano;Piazze/strade;Non/mal segnalate
GALVANI-1;Degrado sociale;Segnalazioni;Mendicanti
IRNERIO-2;Degrado urbano;Piazze/strade;Dissestate
GALVANI-2;Microcriminalita;Occupazioni abusive;
IRNERIO-2;Degrado urbano;Edifici privati;Imbrattati
MEZZOFANTI;Degrado ambientale;Rifiuti/rottami;
IRNERIO-2;Degrado urbano;Cantieri stradali;Abbandonati
IRNERIO-2;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
SIEPELUNGA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
CHIESANUOVA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
DAGNINI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Imbrattati/sporchi
DAGNINI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
DAGNINI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
DAGNINI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
MEZZOFANTI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Non/mal segnalati
CHIESANUOVA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
MEZZOFANTI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;
DAGNINI;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
IRNERIO-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
DAGNINI;Degrado urbano;Piste ciclabili;
SAN MICHELE IN BOSCO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
SAN MICHELE IN BOSCO;Degrado urbano;Cantieri edili;Abusivi
GALVANI-1;Degrado ambientale;Rifiuti/rottami;Siringhe/Preservativi
GALVANI-1;Degrado ambientale;Inquinamento acustico;Piazze/strade
GALVANI-1;Degrado sociale;Segnalazioni;Senza fissa dimora
DAGNINI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
GALVANI-1;Degrado ambientale;Inquinamento acustico;Cantieri e attivita estrattive
SIEPELUNGA;Degrado urbano;Piazze/strade;Dissestate
IRNERIO-2;Degrado urbano;Cantieri edili;Abbandonati
IRNERIO-2;Degrado ambientale;Inquinamento acustico;Piazze/strade
IRNERIO-2;Degrado urbano;Cantieri stradali;Abbandonati
DAGNINI;Degrado urbano;;
GALVANI-2;Degrado urbano;Edifici privati;
GALVANI-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
OSSERVANZA;Degrado urbano;Piazze/strade;Dissestate
MEZZOFANTI;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
GALVANI-2;Degrado sociale;Segnalazioni;Donne in difficolta
IRNERIO-1;Degrado sociale;Segnalazioni;Bande giovanili
OSSERVANZA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;
IRNERIO-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
GALVANI-1;Degrado urbano;Cantieri edili;Inquinanti/rumorosi
GALVANI-1;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;
GALVANI-1;Degrado urbano;Edifici pubblici;Imbrattati
GALVANI-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
IRNERIO-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MEZZOFANTI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;
IRNERIO-2;Degrado urbano;Piazze/strade;
MEZZOFANTI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
IRNERIO-2;Degrado sociale;Segnalazioni;Tossicodipendenti
DAGNINI;Degrado sociale;Conflitti;Fra adulti/fra vicini
IRNERIO-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
IRNERIO-1;Degrado urbano;;
GALVANI-2;Degrado urbano;Edifici privati;Imbrattati
IRNERIO-2;Degrado ambientale;Inquinamento acustico;Privati
SAN MICHELE IN BOSCO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
IRNERIO-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
GALVANI-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
IRNERIO-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
IRNERIO-1;Degrado sociale;Segnalazioni;Senza fissa dimora
GALVANI-2;Degrado sociale;Segnalazioni;Senza fissa dimora
DAGNINI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
SIEPELUNGA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;
SAN MICHELE IN BOSCO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
IRNERIO-2;Degrado urbano;Cantieri stradali;Abbandonati
GALVANI-1;Degrado sociale;Segnalazioni;Bivacco
IRNERIO-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
GALVANI-1;Degrado ambientale;Inquinamento atmosferico;Amianto
IRNERIO-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
GALVANI-2;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
SAN MICHELE IN BOSCO;Degrado urbano;Piazze/strade;Dissestate
IRNERIO-1;Degrado urbano;Piazze/strade;Dissestate
IRNERIO-2;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
IRNERIO-2;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
IRNERIO-1;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
GALVANI-1;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
GALVANI-1;Degrado sociale;Segnalazioni;Mendicanti
OSSERVANZA;Degrado urbano;Piazze/strade;Imbrattate
DAGNINI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
GALVANI-1;Degrado sociale;Conflitti;Fra giovani
CHIESANUOVA;Degrado urbano;Piazze/strade;Dissestate
IRNERIO-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
